Codigo, Nombre
1,"SEDAN"
2,"SEDAN 2 PUERTAS"
3,"SEDAN 4 PUERTAS"
4,"CONVERTIBLE"
5,"COUPE"
6,"DOBLE FAETON"
7,"TODO TERRENO"
8,"LIMOUSINE"
9,"MOTO COUPE"
11,"SEDAN 3 PUERTAS"
13,"SEDAN 5 PUERTAS"
21,"RURAL"
22,"RURAL 2 PUERTAS"
23,"RURAL 4 PUERTAS"
24,"RURAL 5 PUERTAS"
25,"CAMIONETA"
26,"CAMIONETA DOBLE CABINA"
27,"FURGON"
28,"BLINDADO"
29,"RURAL 3 PUERTAS"
40,"AUTOELEVADOR"
41,"CAMION"
42,"TRACTOR"
43,"REMOLQUE"
44,"SEMI-REMOLQUE"
45,"CASA RODANTE"
46,"OMNIBUS"
47,"MICROBUS"
48,"TRACTOR AGRICOLA"
49,"MAQ.INDUSTRIAL CON PROPULSION"
50,"CASA RODANTE CON PROPULSION"
61,"MOTO"
62,"MOTONETA"
63,"CICLOMOTOR"
64,"TRICICLO"
65,"MOTOCICLETA"
73,"CUATRICICLO"
74,"VOITURETTE"
76,"CABRIOLET"
77,"CAMION DOBLE CABINA"
78,"CAMIONETA CABINA Y MEDIA"
79,"CAMION CABINA Y MEDIA"
81,"MICROCUPÃ‰"
82,"MOTO COUPES"
